PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  2.7563
      x           y           z     ipot  label      rleg      beta        eta
    0.804000    1.712000   -2.005000   2 'Ag    '     2.7563  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7563    1.6981    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.7879  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879    1.6981    0.0000
    76    4   1.000  index, nleg, degeneracy, r=  5.5759
      x           y           z     ipot  label      rleg      beta        eta
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.7879  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  180.0000    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.7879  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  180.0000    0.0000
    77    4   1.000  index, nleg, degeneracy, r=  5.5807
      x           y           z     ipot  label      rleg      beta        eta
    0.708500    1.934500    1.882000   2 'Ag    '     2.7904  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  180.0000    0.0000
    0.708500    1.934500    1.882000   2 'Ag    '     2.7904  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  180.0000    0.0000
    78    2   1.000  index, nleg, degeneracy, r=  5.5939
      x           y           z     ipot  label      rleg      beta        eta
   -2.264000    5.108000   -0.272500   2 'Ag    '     5.5939  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.5939  180.0000    0.0000
    79    3   2.000  index, nleg, degeneracy, r=  5.5939
      x           y           z     ipot  label      rleg      beta        eta
   -2.264000    5.108000   -0.272500   2 'Ag    '     5.5939  179.0240    0.0000
   -1.190000    2.605000   -0.173000   2 'Ag    '     2.7255    1.9032    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8692  179.0729    0.0000
    80    4   1.000  index, nleg, degeneracy, r=  5.5945
      x           y           z     ipot  label      rleg      beta        eta
   -1.190000    2.605000   -0.173000   2 'Ag    '     2.8692    1.9032    0.0000
   -2.264000    5.108000   -0.272500   2 'Ag    '     2.7255  180.0000    0.0000
   -1.190000    2.605000   -0.173000   2 'Ag    '     2.7255    1.9032    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8692  180.0000    0.0000
    81    4   1.000  index, nleg, degeneracy, r=  5.6058
      x           y           z     ipot  label      rleg      beta        eta
    1.850000   -0.616000    2.013500   2 'Ag    '     2.8029  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8029  180.0000    0.0000
    1.850000   -0.616000    2.013500   2 'Ag    '     2.8029  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8029  180.0000    0.0000
    82    4   1.000  index, nleg, degeneracy, r=  5.6131
      x           y           z     ipot  label      rleg      beta        eta
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8065  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8065  180.0000    0.0000
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8065  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8065  180.0000    0.0000
    83    2   1.000  index, nleg, degeneracy, r=  5.6307
      x           y           z     ipot  label      rleg      beta        eta
   -1.533500   -3.544000    4.098000   2 'Ag    '     5.6307  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.6307  180.0000    0.0000
    84    3   2.000  index, nleg, degeneracy, r=  5.6307
      x           y           z     ipot  label      rleg      beta        eta
   -1.533500   -3.544000    4.098000   2 'Ag    '     5.6307  179.2630    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.8433    1.4886    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  179.2484    0.0000
    85    4   1.000  index, nleg, degeneracy, r=  5.6307
      x           y           z     ipot  label      rleg      beta        eta
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.7879    1.4886    0.0000
   -1.533500   -3.544000    4.098000   2 'Ag    '     2.8433  180.0000    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.8433    1.4886    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  180.0000    0.0000
    86    4   1.000  index, nleg, degeneracy, r=  5.6455
      x           y           z     ipot  label      rleg      beta        eta
